#x-axis, nbins, first bin low edge, last bin high edge
3200, 0.0025, 16.0025
# bin number, value
0, 10.1229
1, 10.2617
2, 10.2313
3, 10.575
4, 10.5768
5, 10.6229
6, 10.8903
7, 10.9
8, 11.0463
9, 11.3346
10, 11.5027
11, 11.7219
12, 11.6265
13, 11.7867
14, 11.9492
15, 12.1722
16, 12.2325
17, 12.6149
18, 12.6914
19, 12.7995
20, 13.1932
21, 13.7828
22, 13.555
23, 14.0428
24, 14.2542
25, 14.4216
26, 14.8992
27, 15.1197
28, 15.5305
29, 16.1134
30, 16.4058
31, 17.0667
32, 17.4497
33, 17.8532
34, 18.5102
35, 19.3206
36, 19.8644
37, 20.7757
38, 21.4731
39, 22.1758
40, 23.1262
41, 24.3541
42, 25.1374
43, 26.6102
44, 27.4447
45, 28.6497
46, 30.1287
47, 31.0721
48, 32.1126
49, 33.5272
50, 34.7912
51, 36.1228
52, 37.49
53, 38.6913
54, 39.6866
55, 40.8981
56, 41.8543
57, 43.386
58, 44.1312
59, 45.2469
60, 45.9249
61, 46.6478
62, 47.4231
63, 47.6469
64, 48.6661
65, 49.3196
66, 49.4127
67, 49.8868
68, 50.0487
69, 49.7823
70, 50.3067
71, 49.8626
72, 49.1709
73, 49.296
74, 48.6448
75, 47.8454
76, 47.3789
77, 46.047
78, 44.4005
79, 43.284
80, 42.4292
81, 41.0865
82, 39.9066
83, 38.6599
84, 37.0378
85, 36.0946
86, 34.4985
87, 33.509
88, 32.5256
89, 31.921
90, 31.6261
91, 31.2919
92, 30.9604
93, 30.7277
94, 31.0891
95, 31.7179
96, 32.167
97, 32.6608
98, 33.6406
99, 34.5591
100, 35.0307
101, 35.0896
102, 34.6233
103, 33.2072
104, 31.827
105, 29.4246
106, 27.2374
107, 24.9251
108, 22.9228
109, 21.2162
110, 19.683
111, 18.8575
112, 18.0468
113, 17.6822
114, 17.5414
115, 17.2793
116, 16.7841
117, 16.9897
118, 16.6042
119, 16.2214
120, 16.076
121, 16.061
122, 15.49
123, 15.2983
124, 15.0964
125, 14.8808
126, 15.052
127, 14.8159
128, 14.4924
129, 14.4013
130, 13.7757
131, 13.9058
132, 13.9788
133, 13.773
134, 13.3903
135, 13.6588
136, 13.395
137, 13.4887
138, 13.1489
139, 13.0454
140, 12.738
141, 12.8325
142, 12.703
143, 12.5413
144, 12.3656
145, 12.1186
146, 12.0264
147, 12.2818
148, 12.0705
149, 11.9644
150, 11.7885
151, 11.5004
152, 11.5122
153, 11.3721
154, 11.3704
155, 11.38
156, 11.0404
157, 11.0868
158, 11.0356
159, 10.8741
160, 10.7782
161, 10.8529
162, 10.7681
163, 10.5221
164, 10.6623
165, 10.7988
166, 10.4317
167, 10.4034
168, 10.4267
169, 10.5454
170, 10.4367
171, 10.1399
172, 10.0628
173, 10.0747
174, 10.1541
175, 9.97732
176, 9.84856
177, 9.66549
178, 9.47401
179, 9.36502
180, 9.42975
181, 9.15586
182, 9.29567
183, 9.33221
184, 9.13158
185, 9.08702
186, 8.79828
187, 8.81651
188, 8.85307
189, 8.9064
190, 8.61422
191, 8.52294
192, 8.60825
193, 8.46606
194, 8.42272
195, 8.51315
196, 8.3312
197, 8.11493
198, 8.092
199, 8.11375
200, 8.10399
201, 8.0771
202, 7.93485
203, 7.80786
204, 7.8089
205, 7.77353
206, 7.67853
207, 7.47356
208, 7.61434
209, 7.56089
210, 7.29706
211, 7.17659
212, 7.36987
213, 7.38509
214, 7.15612
215, 7.08824
216, 7.16006
217, 6.92542
218, 6.99451
219, 7.05961
220, 6.94704
221, 7.16119
222, 7.0006
223, 6.94865
224, 7.17017
225, 6.87374
226, 7.00058
227, 7.25305
228, 7.09591
229, 7.20186
230, 7.29473
231, 7.20801
232, 7.30372
233, 7.23722
234, 7.32401
235, 7.15818
236, 7.1126
237, 7.24143
238, 6.97918
239, 6.84025
240, 6.62363
241, 6.39052
242, 6.38935
243, 6.01985
244, 6.09257
245, 5.95656
246, 5.75904
247, 5.88633
248, 5.85385
249, 5.79034
250, 5.73037
251, 5.65392
252, 5.69131
253, 5.83888
254, 5.76869
255, 5.78841
256, 5.73337
257, 5.84937
258, 5.89396
259, 6.02305
260, 5.91227
261, 5.87809
262, 5.9062
263, 5.87947
264, 5.97336
265, 6.08424
266, 5.82421
267, 5.66599
268, 5.67308
269, 5.53385
270, 5.62039
271, 5.40298
272, 5.25729
273, 5.25474
274, 5.09655
275, 4.95422
276, 4.94885
277, 4.92721
278, 4.68224
279, 4.80745
280, 4.81493
281, 4.77835
282, 4.97489
283, 4.77817
284, 4.86677
285, 4.94105
286, 4.85581
287, 5.08846
288, 4.98404
289, 5.12881
290, 4.94786
291, 5.00295
292, 5.02922
293, 4.96628
294, 4.81565
295, 4.85701
296, 4.78796
297, 4.6505
298, 4.50952
299, 4.23571
300, 4.17947
301, 4.06804
302, 3.97188
303, 3.87822
304, 3.75558
305, 3.6044
306, 3.67235
307, 3.58547
308, 3.52199
309, 3.54141
310, 3.53795
311, 3.36123
312, 3.45034
313, 3.28112
314, 3.2472
315, 3.25577
316, 3.27674
317, 3.30988
318, 3.33507
319, 3.20414
320, 3.09331
321, 3.09083
322, 3.15814
323, 3.05455
324, 3.11836
325, 3.12216
326, 3.10265
327, 3.0324
328, 3.06095
329, 3.10592
330, 2.97063
331, 3.01702
332, 2.93684
333, 2.83606
334, 2.87244
335, 2.82181
336, 2.8857
337, 2.76976
338, 2.85099
339, 2.86871
340, 2.85183
341, 2.78526
342, 2.80081
343, 2.88293
344, 2.92801
345, 2.79834
346, 2.72566
347, 2.71175
348, 2.85482
349, 2.82224
350, 2.70954
351, 2.66437
352, 2.57723
353, 2.58739
354, 2.66793
355, 2.62304
356, 2.56772
357, 2.50688
358, 2.45697
359, 2.4422
360, 2.49245
361, 2.51603
362, 2.48076
363, 2.42586
364, 2.40491
365, 2.35226
366, 2.37203
367, 2.32598
368, 2.39657
369, 2.30124
370, 2.23327
371, 2.20097
372, 2.24259
373, 2.18816
374, 2.18192
375, 2.15145
376, 2.18693
377, 2.21303
378, 2.17036
379, 2.10426
380, 2.15075
381, 2.17101
382, 2.14661
383, 2.13198
384, 2.11791
385, 2.15984
386, 2.09561
387, 2.10052
388, 2.08444
389, 2.06867
390, 2.1762
391, 2.15642
392, 2.11953
393, 2.06222
394, 1.90175
395, 2.0089
396, 2.02388
397, 2.03793
398, 1.87613
399, 1.95344
400, 1.85281
401, 1.89149
402, 1.87907
403, 1.87669
404, 1.9535
405, 1.7706
406, 1.85393
407, 1.74118
408, 1.75259
409, 1.76267
410, 1.68816
411, 1.63674
412, 1.6906
413, 1.67095
414, 1.76717
415, 1.72801
416, 1.62902
417, 1.62619
418, 1.5828
419, 1.59732
420, 1.58033
421, 1.64997
422, 1.53168
423, 1.58889
424, 1.56142
425, 1.5833
426, 1.62453
427, 1.56791
428, 1.57256
429, 1.66422
430, 1.62451
431, 1.55681
432, 1.6315
433, 1.61488
434, 1.50818
435, 1.63856
436, 1.6092
437, 1.51778
438, 1.54105
439, 1.67347
440, 1.61493
441, 1.60776
442, 1.58803
443, 1.56353
444, 1.57583
445, 1.59389
446, 1.53509
447, 1.5291
448, 1.44802
449, 1.4462
450, 1.48973
451, 1.47684
452, 1.49966
453, 1.42024
454, 1.41959
455, 1.28978
456, 1.34694
457, 1.39378
458, 1.38071
459, 1.35673
460, 1.36801
461, 1.38621
462, 1.26336
463, 1.27834
464, 1.25836
465, 1.19887
466, 1.21744
467, 1.21663
468, 1.19023
469, 1.20244
470, 1.28296
471, 1.25184
472, 1.23963
473, 1.25016
474, 1.25401
475, 1.18499
476, 1.15607
477, 1.22947
478, 1.16978
479, 1.21246
480, 1.15826
481, 1.16464
482, 1.14903
483, 1.1806
484, 1.12311
485, 1.14563
486, 1.1499
487, 1.19456
488, 1.15148
489, 1.1151
490, 1.04362
491, 1.07064
492, 1.1179
493, 1.13565
494, 1.1141
495, 1.10402
496, 1.07509
497, 1.06401
498, 1.01641
499, 1.02734
500, 1.07283
501, 1.07985
502, 1.01447
503, 1.05537
504, 1.07379
505, 1.01974
506, 0.984345
507, 1.03035
508, 1.02096
509, 1.05463
510, 1.07076
511, 1.03097
512, 1.05098
513, 1.07062
514, 1.03423
515, 0.993552
516, 0.990537
517, 1.06882
518, 1.05016
519, 1.0454
520, 1.0233
521, 1.05102
522, 1.02331
523, 1.02854
524, 1.00768
525, 1.04783
526, 0.991085
527, 0.994642
528, 1.00691
529, 0.938787
530, 1.02116
531, 0.93429
532, 0.980321
533, 0.9916
534, 0.9768
535, 0.918838
536, 0.971341
537, 0.96708
538, 0.913534
539, 0.885316
540, 1.00554
541, 0.924142
542, 0.893042
543, 0.881752
544, 0.829466
545, 0.821357
546, 0.854805
547, 0.843017
548, 0.870724
549, 0.826986
550, 0.825704
551, 0.913398
552, 0.866061
553, 0.909058
554, 0.837509
555, 0.832524
556, 0.858237
557, 0.898451
558, 0.868739
559, 0.828187
560, 0.812151
561, 0.881125
562, 0.790771
563, 0.836588
564, 0.81182
565, 0.818271
566, 0.802581
567, 0.818897
568, 0.829954
569, 0.760185
570, 0.801835
571, 0.814772
572, 0.786188
573, 0.749925
574, 0.72935
575, 0.776068
576, 0.78472
577, 0.767789
578, 0.764288
579, 0.749956
580, 0.774361
581, 0.776774
582, 0.765307
583, 0.754385
584, 0.744364
585, 0.781928
586, 0.808114
587, 0.756367
588, 0.734593
589, 0.749238
590, 0.708551
591, 0.709805
592, 0.72473
593, 0.726414
594, 0.740328
595, 0.720927
596, 0.737141
597, 0.747434
598, 0.721648
599, 0.744624
600, 0.716194
601, 0.708401
602, 0.713111
603, 0.738377
604, 0.672843
605, 0.735346
606, 0.690057
607, 0.685486
608, 0.733572
609, 0.705109
610, 0.691231
611, 0.72302
612, 0.713029
613, 0.641123
614, 0.744945
615, 0.653479
616, 0.688393
617, 0.662353
618, 0.678928
619, 0.65751
620, 0.629776
621, 0.69572
622, 0.656368
623, 0.632685
624, 0.726068
625, 0.679103
626, 0.705616
627, 0.667224
628, 0.654635
629, 0.612898
630, 0.568591
631, 0.629209
632, 0.623608
633, 0.611174
634, 0.58807
635, 0.628114
